수종	지역	계절	대체수종1	대체수종2	대체수종3
전나무	경기	가을	주목	독일가문비	전나무(젓나무)
전나무	충남	봄	주목	주목(선주목)	소나무
전나무	강원	여름	주목	소나무	소나무(둥근형)
전나무	충남	가을	주목	소나무	서양측백
전나무	강원	가을	주목	소나무	소나무(둥근형)
전나무	인천	봄	주목	선주목	반펜치블루
전나무	충북	봄	주목(선주목)	주목	스트로브잣나무
전나무	세종	봄	주목	주목(선주목)	소나무
전나무	강원	봄	주목	소나무	스트로브잣나무
전나무	전남	가을	주목	소나무	에메랄드그린
전나무	전북	가을	주목	소나무	서양측백
전나무	광주	겨울	주목	소나무	서양측백
전나무	서울	겨울	주목	소나무	블루엔젤
잣나무	서울	가을	소나무	소나무(둥근형)	스트로브잣나무
자작나무	울산	겨울	팽나무	느티나무	대왕참나무
자작나무	서울	가을	계수나무	느티나무	대왕참나무
자작나무	경기	가을	계수나무	느티나무	대왕참나무
자작나무	경기	겨울	팽나무	느티나무	대왕참나무
자작나무	인천	봄	팽나무	대왕참나무	느티나무
자작나무	서울	봄	팽나무	계수나무	대왕참나무
자작나무	강원	봄	팽나무	계수나무	대왕참나무
자엽자두	서울	봄	매화나무	감나무	살구나무
자엽자두	울산	겨울	매화나무	감나무	모과나무
자엽자두	광주	여름	살구나무	매화나무	감나무
자엽자두	서울	가을	매화나무	감나무	꽃사과
자엽자두	대구	봄	매화나무	감나무	꽃사과
자엽자두	인천	가을	매화나무	감나무	꽃사과
자엽자두	경북	여름	살구나무	매화나무	감나무
자엽자두	경기	봄	매화나무	감나무	살구나무
자엽자두	충남	가을	매화나무	꽃사과	대추나무
자엽자두	경기	겨울	매화나무	모과나무	감나무
자엽자두	인천	봄	매화나무	감나무	살구나무
자엽자두	충북	봄	매화나무	감나무	살구나무
자엽자두	세종	봄	매화나무	감나무	살구나무
자엽자두	부산	겨울	매화나무	모과나무	감나무
자엽자두	광주	겨울	매화나무	모과나무	감나무
자엽자두	경남	겨울	매화나무	모과나무	살구나무
자엽자두	서울	겨울	매화나무	모과나무	감나무
자엽안개나무	서울	가을	개회나무	화살나무	삼색버들
자엽안개나무	서울	겨울	참빗살나무	화살나무	개회나무
자두	인천	여름	살구나무	매화나무	꽃사과
자두	인천	봄	매화나무	감나무	살구나무
이팝나무	서울	봄	산수유	왕벚나무	산딸나무
이팝나무	울산	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	인천	여름	배롱나무	산수유	산딸나무
이팝나무	경기	봄	산수유	왕벚나무	산딸나무
이팝나무	전남	봄	산수유	왕벚나무	팥배나무
이팝나무	대구	봄	산수유	왕벚나무	산딸나무
이팝나무	부산	가을	배롱나무	산딸나무	산수유
이팝나무	대구	가을	배롱나무	산딸나무	산수유
이팝나무	광주	여름	배롱나무	산수유	산딸나무
이팝나무	서울	가을	배롱나무	산딸나무	산수유
이팝나무	경기	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	부산	여름	배롱나무	산수유	산딸나무
이팝나무	인천	가을	배롱나무	산딸나무	산수유
이팝나무	경기	여름	배롱나무	산수유	산딸나무
이팝나무	경남	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	경북	여름	배롱나무	산수유	산딸나무
이팝나무	충남	봄	산수유	왕벚나무	산딸나무
이팝나무	충남	가을	배롱나무	산딸나무	산수유
이팝나무	경기	가을	배롱나무	산딸나무	산수유
이팝나무	강원	가을	배롱나무	산딸나무	산수유
이팝나무	인천	봄	산수유	왕벚나무	산딸나무
이팝나무	충북	봄	산수유	왕벚나무	산딸나무
이팝나무	세종	봄	산수유	왕벚나무	산딸나무
이팝나무	강원	봄	산수유	왕벚나무	산딸나무
이팝나무	대구	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	부산	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	전남	가을	배롱나무	산딸나무	산수유
이팝나무	전북	가을	배롱나무	산딸나무	산수유
이팝나무	광주	겨울	배롱나무	왕벚나무	산딸나무
이팝나무	서울	겨울	배롱나무	왕벚나무	산딸나무
은행나무	서울	봄	팽나무	계수나무	대왕참나무
은행나무	인천	여름	팽나무	느티나무	대왕참나무
은행나무	서울	가을	계수나무	느티나무	대왕참나무
은행나무	인천	가을	계수나무	느티나무	대왕참나무
은행나무	경기	여름	팽나무	느티나무	대왕참나무
은행나무	경기	가을	계수나무	느티나무	대왕참나무
은행나무	경기	겨울	팽나무	느티나무	대왕참나무
은행나무	전남	가을	계수나무	느티나무	대왕참나무
은목서	울산	겨울	동백나무	먼나무	가시나무
은목서	전남	겨울	좀굴거리나무	동백나무	먼나무
은목서	전남	봄	가시나무	애기동백나무	먼나무
은목서	대구	봄	가시나무	동백나무	애기동백나무
은목서	광주	여름	금목서	동백나무	먼나무
은목서	서울	가을	금목서	홍가시나무	동백나무
은목서	인천	가을	금목서	홍가시나무	동백나무
은목서	대구	가을	동백나무	가시나무	금목서
은목서	경기	여름	사철나무	가시나무	금목서
은목서	경남	겨울	동백나무	먼나무	금목서
은목서	경북	여름	가시나무	금목서	동백나무
은목서	경기	가을	금목서	홍가시나무	동백나무
은목서	경기	봄	동백나무	사철나무	가시나무
은목서	충남	봄	홍가시나무	호랑가시나무	동백나무
은목서	충남	가을	금목서	동백나무	가시나무
은목서	경기	겨울	동백나무	돈나무	다정큼나무
은목서	인천	봄	동백나무	사철나무	가시나무
은목서	서울	봄	동백나무	사철나무	가시나무
은목서	세종	봄	홍가시나무	호랑가시나무	동백나무
은목서	대구	겨울	태산목	동백나무	먼나무
은목서	부산	가을	동백나무	가시나무	금목서
은목서	부산	겨울	동백나무	먼나무	가시나무
은목서	전남	가을	동백나무	가시나무	먼나무
은목서	전북	가을	동백나무	가시나무	먼나무
은목서	광주	겨울	동백나무	먼나무	가시나무
은목서	서울	겨울	동백나무	돈나무	다정큼나무
윤노리나무	경기	여름	살구나무	매화나무	감나무
